Name            Location        Type    Namespace       Source  Reference Count Offcut Ref Count
prtbilow        00004e16        Data Label      Global  User Defined    2       0
prtbihigh       00004e18        Data Label      Global  User Defined    2       0
prtboval        00004e1a        Data Label      Global  User Defined    1       0
secbuf          00004e22        Data Label      Global  User Defined    0       3
prtbrval        00005624        Data Label      Global  User Defined    7       0
prtbwords       00005626        Data Label      Global  User Defined    4       0
prtbstrt        00005648        Data Label      Global  User Defined    5       0
dirtbl          0000564c        Data Label      Global  User Defined    6       1
pmd             000056ec        Data Label      Global  User Defined    10      1
prtbplanes      000056f8        Data Label      Global  User Defined    10      0
root            000056fa        Data Label      Global  User Defined    3       0
prtbtcol        0000574a        Data Label      Global  User Defined    5       0
prtboffset      0000574c        Data Label      Global  User Defined    2       0
prtbp2          0000574e        Data Label      Global  User Defined    6       0
errbuf          00005752        Data Label      Global  User Defined    4       0
prtbacol        0000575e        Data Label      Global  User Defined    6       0
prtbmaxval      00005760        Data Label      Global  User Defined    10      0
prtbeps         00005780        Data Label      Global  User Defined    8       0
prtbchunk       00005782        Data Label      Global  User Defined    3       0
prtbobuf        00005784        Data Label      Global  User Defined    9       0
virt_work       0000578c        Data Label      Global  User Defined    3       39
fd_err          000058c0        Data Label      Global  User Defined    1       0
diruse          000058c4        Data Label      Global  User Defined    4       1
prtbp1          000058ec        Data Label      Global  User Defined    6       0
sft             000058f0        Data Label      Global  User Defined    14      8
drvtbl          00005bde        Data Label      Global  User Defined    11      0
glbkbchar       00005c1e        Data Label      Global  User Defined    3       42
bdos_memfreew   00005fde        Data Label      Global  User Defined    3       0
prtbheight      00005fe0        Data Label      Global  User Defined    9       0
drvsel          00005fe2        Data Label      Global  User Defined    3       0
prtbmed         00005fe4        Data Label      Global  User Defined    2       0
prtbmono        00005fe6        Data Label      Global  User Defined    8       0
prtbgval        00005fe8        Data Label      Global  User Defined    9       0
prtbend         00005fea        Data Label      Global  User Defined    6       0
prtbmval        00005fee        Data Label      Global  User Defined    1       0
prtbempty       00005ff6        Data Label      Global  User Defined    5       0
prtblines       00005ff8        Data Label      Global  User Defined    11      0
uptime          00005ffa        Data Label      Global  User Defined    1       0
prtbprez        00005ffe        Data Label      Global  User Defined    6       0
prtbodd         00006000        Data Label      Global  User Defined    4       0
prtbminval      00006002        Data Label      Global  User Defined    11      0
prtbdots        00006022        Data Label      Global  User Defined    7       0
prtbpmsk        00006024        Data Label      Global  User Defined    6       0
prtbomask       00006026        Data Label      Global  User Defined    4       0
prtbbits        00006028        Data Label      Global  User Defined    10      0
errdrv          0000602a        Data Label      Global  User Defined    17      0
run             0000602c        Data Label      Global  User Defined    65      0
prtbidx         00006030        Data Label      Global  User Defined    11      0
ram8x16         00006032        Data Label      Global  User Defined    2       2
prtbinvert      0000608c        Data Label      Global  User Defined    3       0
beptr           0000608e        Data Label      Global  User Defined    8       2
prtblow         0000609a        Data Label      Global  User Defined    3       0
prtbamon        0000609c        Data Label      Global  User Defined    2       0
date            0000609e        Data Label      Global  User Defined    17      0
prtbbol         000060a0        Data Label      Global  User Defined    3       0
prtbink         000060a2        Data Label      Global  User Defined    7       0
bcbx            000060a4        Data Label      Global  User Defined    2       11
buptr           000060f4        Data Label      Global  User Defined    11      2
endvdibss       00006100        Data Label      Global  User Defined    0       0
retsava         00006100        Data Label      Global  User Defined    4       0
sh_doexec       00006104        Data Label      Global  User Defined    1       0
gl_restype      00006108
gl_rschange     0000610a        Data Label      Global  User Defined    6       0
sh_isgem        0000610c        Data Label      Global  User Defined    1       0
ustak           0000610e        Data Label      Global  User Defined    0       6
ustak_end       0000618e        Data Label      Global  User Defined    2       5
diskin          00006192        Data Label      Global  User Defined    5       0
srsave          00006194        Data Label      Global  User Defined    4       0
savsr           00006196        Data Label      Global  User Defined    4       0
dspstk          0000619a        Data Label      Global  User Defined    0       1
crit_err        0000641e        Data Label      Global  User Defined    2       0
SAV2TRP         00006422        Data Label      Global  User Defined    3       0
savsup          00006426        Data Label      Global  User Defined    2       0
drawaddr        0000642a        Data Label      Global  User Defined    1       0
drawsp          0000642e        Data Label      Global  User Defined    2       0
drawstk         00006432        Data Label      Global  User Defined    5       0
