Name            Location        Type         Namespace  Source
prtbdev         000029bc        Data Label      Global  User Defined
pbpar           000029be        Data Label      Global  User Defined
bdos_mempool    000029dc        Data Label      Global  User Defined
prtboch         0000414c        Data Label      Global  User Defined
bdos_memusedw   0000414e        Data Label      Global  User Defined
prtbbval        00004150        Data Label      Global  User Defined
glbcolumn       00004152        Data Label      Global  User Defined
oscnt           00004158        Data Label      Global  User Defined
msec            0000415a        Data Label      Global  User Defined
ram8x8          0000415c        Data Label      Global  User Defined
prtbflg         000041b6        Data Label      Global  User Defined
supstk          000045b8        Data Label      Global  User Defined
supstk_end      00004db8        Data Label      Global  User Defined
drivechange     00004db8        Data Label      Global  User Defined
prtbdmask       00004dba        Data Label      Global  User Defined
prtbwidth       00004dbc        Data Label      Global  User Defined
bakbuf          00004dbe        Data Label      Global  User Defined
fill            00004dca        Data Label      Global  User Defined
blkdev          00004dce        Data Label      Global  User Defined
time            00004e0e        Data Label      Global  User Defined
prtbbytes       00004e10        Data Label      Global  User Defined
rwerr           00004e12        Data Label      Global  User Defined
prtbilow        00004e16        Data Label      Global  User Defined
prtbihigh       00004e18        Data Label      Global  User Defined
prtboval        00004e1a        Data Label      Global  User Defined
secbuf          00004e22        Data Label      Global  User Defined
curflop         00005622        Data Label      Global  User Defined
prtbrval        00005624        Data Label      Global  User Defined
prtbwords       00005626        Data Label      Global  User Defined
prtbval         00005628        Data Label      Global  User Defined
prtbstrt        00005648        Data Label      Global  User Defined
dirtbl          0000564c        Data Label      Global  User Defined
pmd             000056ec        Data Label      Global  User Defined
prtbplanes      000056f8        Data Label      Global  User Defined
root            000056fa        Data Label      Global  User Defined
prtbtcol        0000574a        Data Label      Global  User Defined
prtboffset      0000574c        Data Label      Global  User Defined
prtbp2          0000574e        Data Label      Global  User Defined
errbuf          00005752        Data Label      Global  User Defined
prtbacol        0000575e        Data Label      Global  User Defined
prtbmaxval      00005760        Data Label      Global  User Defined
prtbeps         00005780        Data Label      Global  User Defined
prtbchunk       00005782        Data Label      Global  User Defined
prtbobuf        00005784        Data Label      Global  User Defined
virt_work       0000578c        Data Label      Global  User Defined
fd_err          000058c0        Data Label      Global  User Defined
diruse          000058c4        Data Label      Global  User Defined
prtbp1          000058ec        Data Label      Global  User Defined
sft             000058f0        Data Label      Global  User Defined
drvtbl          00005bde        Data Label      Global  User Defined
glbkbchar       00005c1e        Data Label      Global  User Defined
bdos_freew      00005fde        Data Label      Global  User Defined
prtbheight      00005fe0        Data Label      Global  User Defined
drvsel          00005fe2        Data Label      Global  User Defined
prtbmed         00005fe4        Data Label      Global  User Defined
prtbmono        00005fe6        Data Label      Global  User Defined
